"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
19.09858,1.862379,0.12823,6808,310944,1698206,42954780,1,1988,"926879.6",6808,310944,1698206,42954780,1,1988,1,1,1,1,1.00000192685171,1.00000192685171
18.63107,2.044919,0.15038,17422,755533,4173617,96136656,2,1988,"2497223",17422,755533,4173617,96136656,2,1988,1,1,1,1,1,1
18.00122,2.270321,0.14088,5946,427526,3583805,48031568,3,1988,"1582543",5946,427526,3583805,48031568,3,1988,1,1,1,1,1.00000000042833,1.00000000042833
18.87511,1.898781,0.1335,4602,158366,1003405,19542630,4,1988,"521520.2",4602,158366,1003405,19542630,4,1988,1,0.855754819066196,1.28133804396032,0.933626269008542,1.01217613709985,0.886384862079474
21.86007,1.940876,0.13681,662,28932,74782,1171770,5,1988,"80855.7",662,28932,74782,1171770,5,1988,1,1,2.02119493995881,2.02119493995881,1.12543628599817,1.12543628599817
19.1492,2.093268,0.15259,3690,266895,2539487,30571850,6,1988,"1.016844D+06",3690,266895,2539487,30571850,6,1988,1,0.970462104197657,1,1,1.00039729734577,0.980280298582029
18.22351,1.626031,0.13287,7537,193092,1403059,19704030,7,1988,"637748.6",7537,193092,1403059,19704030,7,1988,0.945067636152715,0.689088779027104,1,0.771543990548898,0.947153175484913,0.722020848656467
26.1653,1.769621,0.15602,2972,162786,616522,13689700,8,1988,"462022.6",2972,162786,616522,13689700,8,1988,1,0.827954220535579,1.22167254372107,0.901812264110424,1.03179607768465,0.854762462230114
18.58814,1.872093,0.12088,5261,208971,902279,14875040,9,1988,"598072.9",5261,208971,902279,14875040,9,1988,0.811632769435469,0.601452104186927,0.840725540547879,0.657090344989894,0.816451483119576,0.619814558514477
24.24114,1.683204,0.14768,6255,119069,1023591,10225410,10,1988,"503209.7",6255,119069,1023591,10225410,10,1988,0.740788954303807,0.528636804391363,0.796163069544365,0.696661445601574,0.74921611709454,0.597788865931946
16.71546,2.042982,0.15018,23691,948586,5942944,104086440,11,1988,"3.226462D+06",23691,948586,5942944,104086440,11,1988,1,1,1,1,1,1
13.34819,1.902511,0.1359,4980,72151,767085,10575180,12,1988,"307988.9",4980,72151,767085,10575180,12,1988,1,0.876144054409162,1.28258790591953,1.18345253771459,1.04383255159272,0.998877782798525
22.48184,1.756011,0.13398,1671,38860,293288,3600500,13,1988,"145100.5",1671,38860,293288,3600500,13,1988,1,0.561925296817124,1.27223365928976,0.986987979307315,1.04013569588392,0.673075581054528
18.41412,1.657583,0.15128,4142,200113,900381,16359680,14,1988,"544184.9",4142,200113,900381,16359680,14,1988,1,0.687593123476168,1.01041336945138,0.742970512038058,1.00129604963371,0.704959494967829
29.83294,1.756491,0.10074,808,60348,282283,5265650,15,1988,"158542.9",808,60348,282283,5265650,15,1988,1,0.848055560748372,1.54455445544554,1.36308806084981,1.08906499566525,0.969267398678045
21.37252,2.407405,0.13984,1052,41043,276756,5184570,16,1988,"159992.6",1052,41043,276756,5184570,16,1988,1,0.856245659783109,1.37304777915844,1.20810841834986,1.07048411951811,0.945386018687477
20.25794,2.003448,0.13085,3029,80060,695738,9256620,17,1988,"312794.7",3029,80060,695738,9256620,17,1988,0.889896771485818,0.756269312869702,1.10173619785161,0.95181336359831,0.918564197686687,0.825649614521364
17.01654,1.80016,0.14487,645,56368,589306,5622470,18,1988,"197819.8",645,56368,589306,5622470,18,1988,1,0.811173194471217,1.93488372093023,1.56248571277517,1.15691617727023,0.934358499913226
18.89973,1.941789,0.14192,11699,195547,587546,21574150,19,1988,"684203.4",11699,195547,587546,21574150,19,1988,1,1,1,1,1.02294022983393,1.02294022983393
25.27124,2.783598,0.12525,7521,182026,2425015,17297050,20,1988,"1.000485D+06",7521,182026,2425015,17297050,20,1988,0.870018568775889,0.629812477868118,0.91846219770802,0.726335348505303,0.873235145154023,0.669509611210068
22.36155,1.96934,0.16767,3743,167184,1044112,18128530,21,1988,"588007.6",3743,167184,1044112,18128530,21,1988,1,0.775221424963195,1.22949505744056,0.825574143126347,1.01256816245797,0.788164668503357
17.94719,1.949123,0.16071,3674,112939,731900,14043760,22,1988,"403693.6",3674,112939,731900,14043760,22,1988,1,0.843135209604476,1.02908594070228,0.972258260436436,1.00654617067682,0.890765659670128
16.42797,1.902203,0.14982,3604,92540,559149,10720430,23,1988,"319008",3604,92540,559149,10720430,23,1988,1,0.757568347877824,1.30895342744063,0.949987110431434,1.02198227113018,0.823880764809647
24.37663,1.788401,0.1437,6643,338382,2954683,27358110,24,1988,"1.191685D+06",6643,338382,2954683,27358110,24,1988,0.859478664885539,0.597824773499369,0.859478664885539,0.626197207502509,0.859941390208457,0.603909191717888
18.74468,1.913517,0.12924,3419,233470,1531789,20108270,25,1988,"708805.3",3419,233470,1531789,20108270,25,1988,1,0.671707701928312,1.21906990348055,0.848023585508652,1.00609515670183,0.688945102907708
16.7053,1.931358,0.10234,1340,99760,254729,6297540,26,1988,"241126.4",1340,99760,254729,6297540,26,1988,0.894915773233515,0.859870492622439,1.07248880182468,1.07248880182468,0.931853117474258,0.931853117474258
16.65143,2.590279,0.14533,9594,360988,3804866,46201540,27,1988,"1.647775D+06",9594,360988,3804866,46201540,27,1988,1,0.936558036664584,1,0.936558036664584,1.00000000636072,0.936559595068811
22.18694,1.430297,0.13812,2376,103236,1080254,12589710,28,1988,"349579.",2376,103236,1080254,12589710,28,1988,1,0.86251968161568,1.22103723507304,0.963041248262888,1.0143407946004,0.888782614014936
16.74163,1.817787,0.12424,2395,109505,753188,14249980,29,1988,"332729.",2395,109505,753188,14249980,29,1988,1,0.930640222177813,1.17135429666962,1.01803203103665,1.02201043299749,0.952230052616691
14.85467,1.84591,0.13428,3830,67306,585849,8675760,30,1988,"259802",3830,67306,585849,8675760,30,1988,1,0.774718918766248,1.1894927643895,1.07205746223352,1.01962898992007,0.893369631504998
26.44385,1.876997,0.16092,3239,136074,1191276,13213390,31,1988,"532762.2",3239,136074,1191276,13213390,31,1988,0.804745947058218,0.68501266286277,0.989402824933492,0.762563673595198,0.825264739819886,0.706351781772632
19.56626,1.78837,0.13453,8682,322105,1715267,43896408,32,1988,"976671.9",8682,322105,1715267,43896408,32,1988,1,1,1,1,1.00000087139338,1.00000087139338
18.94358,1.44419,0.15261,1886,12295,485022,2402030,33,1988,"127503.1",1886,12295,485022,2402030,33,1988,1,0.999999999999992,2.364945099634,2.36494509963409,1.38847081226952,1.38847081226953
19.91313,1.964959,0.17779,4168,182485,1285701,22602630,34,1988,"670158.2",4168,182485,1285701,22602630,34,1988,1,0.886637271203465,1,0.927038702532685,1.00181373770419,0.89808316814918
26.31148,1.750276,0.14295,5800,153193,1882145,15912400,35,1988,"689789.3",5800,153193,1882145,15912400,35,1988,0.878839111447651,0.68925066369742,0.920662171248034,0.80007851655102,0.883418957557813,0.736586072065415
17.55604,2.054103,0.15524,562,29077,151149,2652650,36,1988,"93058.01",562,29077,151149,2652650,36,1988,1,0.806477446247511,1.80071174377224,1.50271241721674,1.09304299810272,1.00247216243333
15.14707,2.095933,0.14179,1659,64426,684675,8082590,37,1988,"257241.6",1659,64426,684675,8082590,37,1988,1,0.863351045841909,1.60239654797752,1.05584499419379,1.12650131450816,0.916306901080754
