"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
23.37447,2.016324,0.11728,7261,270125,1646493,38247540,1,1993,"907482.3",7261,270125,1646493,38247540,1,1993,1,1,1,1,1.00000634469736,1.00000634469736
23.17169,2.029919,0.11921,19020,721597,4576001,97002376,2,1993,"2451014",19020,721597,4576001,97002376,2,1993,1,1,1,1,1,1
22.40981,2.14292,0.11474,5794,532044,3148625,53180984,3,1993,"1.631243D+06",5794,532044,3148625,53180984,3,1993,1,1,1,1,1.00000000015234,1.00000000015234
22.59483,2.010368,0.11197,4070,165257,2037322,22286880,4,1993,"652307.3",4070,165257,2037322,22286880,4,1993,1,0.90906173742442,1,0.958873977403238,1.00258018118145,0.928897828039447
26.84878,1.995941,0.11427,540,18177,72766,1598907,5,1993,"59093.53",540,18177,72766,1598907,5,1993,1,1,2.03544237693428,2.03544237693428,1.3090817007566,1.3090817007566
20.52156,1.795543,0.12151,5943,372716,2247284,28267840,6,1993,"1.064255D+06",5943,372716,2247284,28267840,6,1993,0.837989324001773,0.597625581644093,0.837989324001773,0.609744756333388,0.838055040702019,0.599471852555024
19.89035,1.747605,0.12405,6225,159802,1307499,17288644,7,1993,"565283.5",6225,159802,1307499,17288644,7,1993,1,0.692647506860176,1.03116356491158,0.766051495180686,1.00205099453408,0.709680427082042
37.20645,2.081203,0.11424,2812,127928,623318,11611722,8,1993,"442076.5",2812,127928,623318,11611722,8,1993,1,0.697784247085922,1.1821766738647,0.864887570745873,1.01764502751453,0.740509209524315
29.09189,1.776384,0.13101,3152,172526,874836,7676325,9,1993,"512782.4",3152,172526,874836,7676325,9,1993,0.624682741116751,0.343904951279133,0.749723376724323,0.474818192252766,0.644484306780863,0.373658229906445
28.52394,1.650071,0.12478,5828,116723,976099,10352725,10,1993,"480636.4",5828,116723,976099,10352725,10,1993,0.598425331768375,0.508533925587566,0.75868509205555,0.656869297780168,0.624181124433905,0.552420774190608
22.56722,2.157552,0.11216,22346,922256,6500648,105849592,11,1993,"3.223216D+06",22346,922256,6500648,105849592,11,1993,1,1,1,1,1,1
17.45535,2.241784,0.12239,3832,76043,708230,12636934,12,1993,"324041.2",3832,76043,708230,12636934,12,1993,1,0.998246953630166,1.24021934957853,1.19311332145349,1.03554689845961,1.03554689845961
28.28532,1.799528,0.11467,1094,19431,316783,2809404,13,1993,"102236.3",1094,19431,316783,2809404,13,1993,1,0.759585399862072,1.76161803303999,1.35685840574008,1.12259995411049,0.999263965002575
28.99421,1.642455,0.13105,2329,121690,905765,9813462,14,1993,"386098.3",2329,121690,905765,9813462,14,1993,0.892228424216402,0.543716938732767,0.927866036925719,0.67092293450695,0.896493792925894,0.584450929163128
38.16929,1.673563,0.11922,597,50744,252354,3756178,15,1993,"137796",597,50744,252354,3756178,15,1993,1,0.677013327763426,1.73031825795645,1.36436702604596,1.20734593482673,0.860716274801277
26.07782,2.227349,0.11256,966,41568,251232,5268778,16,1993,"146056.3",966,41568,251232,5268778,16,1993,1,0.857894639697839,1.44567936874519,1.2693031598085,1.03810332601626,0.985383896371578
30.14442,2.120078,0.11256,2161,88556,664285,10868413,17,1993,"327659.7",2161,88556,664285,10868413,17,1993,1,0.76163579923065,1.22628412771865,0.932225512249887,1.01662965156091,0.818000117413969
23.96965,1.912455,0.12078,624,61344,512536,5614469,18,1993,"194178.8",624,61344,512536,5614469,18,1993,1,0.81279611530193,1.65544871794872,1.52226521287474,1.1645805083356,0.952824885285322
21.46879,2.062286,0.14562,10594,165248,616428,20676184,19,1993,"657993.3",10594,165248,616428,20676184,19,1993,1,1,1.32338245504747,1.32338245504747,1.01109337968981,1.01109337968981
32.10862,2.481976,0.13366,6200,297320,2174876,22389172,20,1993,"1.227709D+06",6200,297320,2174876,22389172,20,1993,0.64746737521862,0.524033592389809,0.64746737521862,0.545315884118448,0.64800069278755,0.532613409900151
25.78059,1.87843,0.13911,3099,148201,899574,16856828,21,1993,"483419",3099,148201,899574,16856828,21,1993,1,0.803534087723305,1.31260922665839,0.875441867805415,1.01915954732899,0.834317814578124
18.44133,2.017402,0.10937,3162,103127,1429090,14729427,22,1993,"422659.7",3162,103127,1429090,14729427,22,1993,0.914503476296217,0.897630760064562,0.990196078431373,0.990196078431372,0.92290587426384,0.922905874263839
23.53422,2.027519,0.13047,2650,94712,532520,11594397,23,1993,"323873.9",2650,94712,532520,11594397,23,1993,1,0.843922594856141,1.34,0.99097872811599,1.04814582243816,0.904667586141789
28.01553,1.695261,0.10844,5130,445397,2839880,34026068,24,1993,"1.206741D+06",5130,445397,2839880,34026068,24,1993,0.890448343079922,0.706675842283893,0.890448343079922,0.754132578661186,0.890481181403055,0.708891699373355
23.44014,1.89512,0.11603,3689,214458,1374889,19838632,25,1993,"652422.8",3689,214458,1374889,19838632,25,1993,0.907077376455996,0.676298002237278,0.950393060449986,0.728928396733428,0.908744903608786,0.690951342922453
19.07455,1.90245,0.07822,1456,77015,243786,4330571,26,1993,"193358.7",1456,77015,243786,4330571,26,1993,0.847645065754391,0.609843267583317,1.03054318131476,0.978685622674571,0.896364626785362,0.727504753161339
24.3544,1.839832,0.10807,8740,553011,3674650,50653348,27,1993,"1.627425D+06",8740,553011,3674650,50653348,27,1993,0.962085745129844,0.795929239092076,0.962085745129844,0.795929239092073,0.962085746438217,0.795938976874459
26.11658,1.724023,0.10742,2360,86439,995732,13251404,28,1993,"317619.4",2360,86439,995732,13251404,28,1993,1,0.94841799414354,1.09105843427157,1.09105843427157,1.01555678612285,1.00479658069904
22.0562,1.895668,0.10558,2078,94310,684758,14874723,29,1993,"296910",2078,94310,684758,14874723,29,1993,1,1,1.50673724735322,1.17194734344548,1.05160496725444,1.05160496725444
24.41466,1.828333,0.1186,2609,81686,942890,12225082,30,1993,"324873.8",2609,81686,942890,12225082,30,1993,1,0.906789560515533,1.15454300614548,1.06880384936057,1.01094683673286,0.969786722336697
29.91249,1.730192,0.12735,3321,140958,1137928,14451211,31,1993,"488138.9",3321,140958,1137928,14451211,31,1993,0.669064544048582,0.645935823407326,0.942788316772057,0.754866752071525,0.70111193207778,0.680343930267662
20.56552,1.877613,0.12028,10196,299319,1647643,42881708,32,1993,"969869.8",10196,299319,1647643,42881708,32,1993,1,1,1,1,1.00000072871284,1.00000072871284
22.62925,1.80126,0.12988,1062,27578,426971,4110942,33,1993,"129162.4",1062,27578,426971,4110942,33,1993,1,0.811396321750052,1.65617521212561,1.25593916219919,1.16152938759267,0.991101805534108
23.11872,1.992223,0.11226,3506,192505,1221740,26389414,34,1993,"601719.6",3506,192505,1221740,26389414,34,1993,1,0.999999999999999,1,1,1.00251885187722,1.00251885187722
31.25818,1.774428,0.12763,4742,83305,1891406,11116606,35,1993,"537445.2",4742,83305,1891406,11116606,35,1993,0.912826360962727,0.774711073669922,1,0.950204064563933,0.925129147532257,0.818456643409091
22.68929,2.342172,0.11637,641,34230,143225,3439678,36,1993,"111383.5",641,34230,143225,3439678,36,1993,1,0.947432534920962,1.75410717402688,1.64077058716172,1.20004288148205,1.15588819793931
19.64793,2.107046,0.12343,1388,67123,655885,8887546,37,1993,"249658.5",1388,67123,655885,8887546,37,1993,1,0.857210301239021,1.55691642651297,1.06568208889941,1.10792607405618,0.930522113940938
25.40125,1.461559,0.1331,6336,456756,2629960,27950744,38,1993,"1178566",6336,456756,2629960,27950744,38,1993,0.720959595959596,0.509155556669979,0.720959595959596,0.540489625089084,0.72120209156883,0.511375876026999
22.70177,2.035379,0.10165,3374,180509,827167,15875428,39,1993,"528081.5",3374,180509,827167,15875428,39,1993,1,0.721244982548593,1.07767479737852,0.874438133098415,1.00637364697499,0.749168040498567
26.90714,2.037787,0.11328,9476,636991,3437055,67562704,40,1993,"1.942374D+06",9476,636991,3437055,67562704,40,1993,1,1,1,1,1.00000000000003,1.00000000000003
25.06043,1.576105,0.11499,5297,287648,1839108,29240464,41,1993,"797587.7",5297,287648,1839108,29240464,41,1993,1,0.756384147406154,1,0.756384147406154,1.00001561495052,0.757838167328835
25.73274,1.878346,0.11604,4352,122780,1092776,16720916,42,1993,"469418",4352,122780,1092776,16720916,42,1993,1,0.870129786929923,1.20704512135527,0.963529390028534,1.01445751251192,0.8942776042164
24.56142,1.940777,0.09523,1033,60094,341054,7615622,43,1993,"174479.5",1033,60094,341054,7615622,43,1993,1,0.935990396321513,1.92311188257578,1.30489836924297,1.21113443382766,1.02543425233789
31.33692,1.719136,0.1115,3358,161489,1385038,16562863,44,1993,"537282.7",3358,161489,1385038,16562863,44,1993,0.922870756402621,0.67689813307902,1,0.755046978471104,0.928993553826719,0.703670335385601
30.2108,1.731271,0.12889,1818,88596,523117,5439321,45,1993,"275731.5",1818,88596,523117,5439321,45,1993,0.542904290429043,0.429432272940958,0.678292473700844,0.647141236350399,0.564238987056807,0.490315017374922
23.99366,2.182138,0.11956,3602,204928,1278640,25806728,46,1993,"686480.6",3602,204928,1278640,25806728,46,1993,0.973348139922265,0.931390627205016,0.973348139922265,0.945286739118938,0.973549402427057,0.934690359723587
25.49757,1.931271,0.1248,963,35340,294484,3063713,47,1993,"129556.9",963,35340,294484,3063713,47,1993,0.684097340124505,0.473014899864539,1.17623089983022,0.878738975835857,0.794614549522544,0.612444574571804
22.15976,1.691901,0.11052,584,9474,150395,592625,48,1993,"45592.02",584,9474,150395,592625,48,1993,1,1,1.63848427274646,1.63848427274647,1.09090237366551,1.09090237366551
