"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
18.41183,1.953432,0.12079,7742,296770,1699272,41904992,1,1987,"927519.4",7742,296770,1699272,41904992,1,1987,1,1,1,1,1.00000923629422,1.00000923629422
18.08016,2.133369,0.13978,16146,702096,4295194,88549240,2,1987,"2.390134D+06",16146,702096,4295194,88549240,2,1987,1,1,1,1,1,1
16.95602,2.272841,0.1334,6116,397042,3669386,47180820,3,1987,"1.495612D+06",6116,397042,3669386,47180820,3,1987,1,1,1,1,1.00000000039314,1.00000000039314
17.64673,2.06107,0.13177,4775,147976,1007952,18525740,4,1987,"522069.8",4775,147976,1007952,18525740,4,1987,1,0.868135309712718,1.26908622632824,0.93034607259301,1.01481208562707,0.88295202522594
21.28462,2.062121,0.12835,495,37247,76266,3065320,5,1987,"97132.45",495,37247,76266,3065320,5,1987,1,1,3.05492617942465,2.73503956956212,1.48544043219179,1.48544043219179
17.38397,1.854817,0.14146,5219,299576,2611703,31157420,6,1987,"1015837",5219,299576,2611703,31157420,6,1987,1,0.829312294107609,1,0.857642759808246,1.00012137092212,0.834409654873627
17.50611,1.763536,0.12342,7746,177697,1388983,19654520,7,1987,"620405.7",7746,177697,1388983,19654520,7,1987,0.943474470169901,0.751509260375931,1,0.814361409797669,0.945334857423606,0.763940710875342
24.99698,1.793223,0.12656,2435,173785,618045,13635750,8,1987,"450722.7",2435,173785,618045,13635750,8,1987,1,0.920595836564328,1.35811088295688,1.07856898982296,1.03699510238894,0.973529915938475
18.15018,2.067078,0.11711,4858,168439,869868,13111590,9,1987,"538220.4",4858,168439,869868,13111590,9,1987,0.85014409221902,0.584079211068868,0.860217872136922,0.672381711313151,0.85235637195612,0.617325079416225
24.60892,1.76402,0.13465,6370,121209,1028838,9834800,10,1987,"509107",6370,121209,1028838,9834800,10,1987,0.614014062466589,0.532445426767327,0.760537583842784,0.645429295076475,0.6414529581271,0.558320659238415
15.65549,2.186294,0.14334,25273,938056,5502184,105822600,11,1987,"3.235211D+06",25273,938056,5502184,105822600,11,1987,1,1,1,1,1,1
11.32012,1.816158,0.12591,6049,75071,778084,10589830,12,1987,"302784.8",6049,75071,778084,10589830,12,1987,1,0.897218655870094,1.22795753353492,1.10158691164997,1.03770535659649,0.938099486665204
23.46539,1.832991,0.13967,1447,35963,286596,3718140,13,1987,"139903.1",1447,35963,286596,3718140,13,1987,1,0.695314430669557,1.25684731529628,1.04500650133005,1.0487191545963,0.798920447848792
17.44192,1.797495,0.13884,3282,168854,885263,13210360,14,1987,"483668.5",3282,168854,885263,13210360,14,1987,0.913467397928093,0.639133544981475,1,0.760802669769144,0.924090603077549,0.682528258242812
27.34313,1.957571,0.10063,860,60144,289908,4298270,15,1987,"170424.7",860,60144,289908,4298270,15,1987,1,0.684277390410197,1.32800750582944,1.10390675903577,1.08954192399324,0.846061155494801
20.48751,2.307124,0.13466,1088,45200,282466,5297010,16,1987,"164609.3",1088,45200,282466,5297010,16,1987,1,0.879827875824332,1.36299590039155,1.16077055697989,1.02605855396301,0.98519878022119
19.16639,2.210884,0.12506,2830,78009,713621,9532750,17,1987,"315955.2",2830,78009,713621,9532750,17,1987,0.885233198014072,0.829037577166784,1.16144291043341,0.984039276899754,0.91632769808995,0.865081221119786
16.00019,1.963641,0.14112,658,50065,606836,5370010,18,1987,"194474.5",658,50065,606836,5370010,18,1987,1,0.878094511158369,1.70212765957447,1.39743152369375,1.13573124105542,0.98527378562634
18.67943,2.090977,0.12505,8392,178475,1081497,20874640,19,1987,"665186.1",8392,178475,1081497,20874640,19,1987,1,0.803085385424356,1,0.857290683066658,1.00410663839259,0.814714877848838
22.92747,3.110405,0.11446,8135,244284,2482663,21402620,20,1987,"1.230503D+06",8135,244284,2482663,21402620,20,1987,0.685263873196771,0.606230036430177,0.685263873196771,0.642717765484399,0.685922485507159,0.613938020865373
23.69124,2.058434,0.14161,3117,178598,1071257,17950600,21,1987,"593178.5",3117,178598,1071257,17950600,21,1987,1,0.809725105427273,1.28777670837344,0.94901982149816,1.01765300028245,0.834055378810103
17.20274,2.067089,0.15104,2998,104811,748276,13420040,22,1987,"381247.",2998,104811,748276,13420040,22,1987,1,0.891157021688384,1.22381238610451,0.985989261650086,1.02617459441464,0.914370420316651
