"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
25.62834,1.727348,0.13984,7409,294400,2078659,39173944,1,1995,"989091.3",7409,294400,2078659,39173944,1,1995,1,0.908989111090623,1,0.943410816045479,1.00000157706397,0.919611914785411
26.61879,1.942616,0.13462,18928,724547,4408427,100699096,2,1995,"2.504819D+06",18928,724547,4408427,100699096,2,1995,1,1,1,1,1,1
21.2409,2.094662,0.13299,5774,461987,2989281,56006512,3,1995,"1.487896D+06",5774,461987,2989281,56006512,3,1995,1,1,1,1,1.00000000007635,1.00000000007635
24.76947,1.856476,0.13588,3903,176821,1972447,23665708,4,1995,"692955.3",3903,176821,1972447,23665708,4,1995,1,0.871733930435379,1,0.939543509608512,1.00153329758476,0.89133107772879
34.13395,1.966284,0.13195,386,20040,72666,1518923,5,1995,"62168.31",386,20040,72666,1518923,5,1995,0.948186528497409,0.94213329968565,1.97547683923706,1.97547683923705,1.08077014264766,1.08077014264766
25.13284,2.144135,0.13645,4518,318956,2135632,34496408,6,1995,"1088842",4518,318956,2135632,34496408,6,1995,1,0.811704507079394,1,0.811704507079397,1.00001694968493,0.812236591220999
22.6399,1.675496,0.14712,5376,155483,1362983,17760964,7,1995,"582745.4",5376,155483,1362983,17760964,7,1995,0.94765987278352,0.688372495313265,1,0.7850279978782,0.950489949142294,0.72541891179566
38.79535,1.830654,0.13175,2415,141387,616821,11539870,8,1995,"433787.6",2415,141387,616821,11539870,8,1995,1,0.646691998141452,1.23147558205703,0.851703977580519,1.01184689765315,0.693966910238644
28.76477,1.799027,0.13661,2678,121707,830528,9161801,9,1995,"409444.7",2678,121707,830528,9161801,9,1995,0.690814040328603,0.476923217379595,0.773338312173264,0.579775808816074,0.708780830982923,0.516834696126942
38.7045,1.656372,0.13896,3286,114964,982315,10793421,10,1995,"454108.6",3286,114964,982315,10793421,10,1995,0.63941755680039,0.528839142674185,0.872125187015066,0.6530128423674,0.673865263125349,0.577926146722313
25.06981,2.084305,0.11615,18840,884939,6148109,108304336,11,1995,"3.030901D+06",18840,884939,6148109,108304336,11,1995,1,1,1,1,1,1
19.74059,2.234348,0.13886,2872,69718,680893,11049057,12,1995,"307018.",2872,69718,680893,11049057,12,1995,1,0.820444125629765,1.35069680551864,1.10025827333136,1.01658086608003,0.925487826596847
