"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
19.97169,1.981526,0.12549,6905,299077,1671401,43496820,1,1989,"940277.6",6905,299077,1671401,43496820,1,1989,1,1.00000000000001,1,0.999999999999998,1.00000314873025,1.00000314873026
19.55767,2.145883,0.14258,17637,765781,4098247,102206480,2,1989,"2.572543D+06",17637,765781,4098247,102206480,2,1989,1,1,1,1,1,1
19.05546,2.319009,0.13283,6330,423707,3483046,47601832,3,1989,"1.565854D+06",6330,423707,3483046,47601832,3,1989,1,1,1,1,1.00000000031619,1.00000000031619
19.03194,2.047087,0.13081,4531,150056,1004536,20041930,4,1989,"524814.8",4531,150056,1004536,20041930,4,1989,1,0.881473498116408,1.25516357801015,0.948738648820963,1.00841852789875,0.902548444691889
23.21951,2.020078,0.1285,606,34262,74307,3073830,5,1989,"92831.4",606,34262,74307,3073830,5,1989,1,1,3.04833999488608,2.63178956522048,1.40319070625431,1.40319070625431
19.57368,1.985089,0.15251,4637,276624,2469986,29504630,6,1989,"1.016584D+06",4637,276624,2469986,29504630,6,1989,1,0.802053229100207,1,0.879039903600934,1.00047182231102,0.81159964270248
18.94704,1.740001,0.13553,6925,190033,1396379,19397950,7,1989,"651117.2",6925,190033,1396379,19397950,7,1989,0.789631274568101,0.655535967733459,0.943757136918325,0.725200583871359,0.797215455983527,0.67994860386713
27.0577,1.835794,0.15135,2818,155040,597401,14372990,8,1989,"451286.7",2818,155040,597401,14372990,8,1989,1,0.869827844647337,1.24148436309949,1.0127463644524,1.02978091908238,0.907490160436986
20.08056,1.937254,0.14003,5536,190818,907760,15045670,9,1989,"607942.5",5536,190818,907760,15045670,9,1989,0.777520988585982,0.592158596489325,0.817026526835287,0.688860266742417,0.78310854540972,0.61839483125136
24.49737,1.804239,0.15148,5958,124599,1005759,10469430,10,1989,"523114.1",5958,124599,1005759,10469430,10,1989,0.717726466504547,0.506679422723088,0.758569490926894,0.629926446157119,0.721447738352955,0.544843595470218
18.5531,2.295104,0.14559,20818,839250,5825270,102354848,11,1989,"3.160506D+06",20818,839250,5825270,102354848,11,1989,1,0.999999999999993,1,1.00000000000001,1,1.00000000000001
13.76742,1.945342,0.13576,5142,98994,758766,13681180,12,1989,"366379.3",5142,98994,758766,13681180,12,1989,1,0.834955784424229,1.19595126977393,1.00857297656953,1.03068770748822,0.88864264230767
23.13989,1.903604,0.13836,1525,40214,312414,4466820,13,1989,"155065.5",1525,40214,312414,4466820,13,1989,0.984060277515293,0.66451520350558,1.24028945143482,0.973058453633927,0.999411849174279,0.733468582009533
23.11333,1.746833,0.15709,3049,222161,907904,17834050,14,1989,"601173.4",3049,222161,907904,17834050,14,1989,0.974186698153109,0.798563685651144,1,0.939869444569019,0.976481047782684,0.827399005075837
30.40504,1.827365,0.10106,856,68224,275617,5342220,15,1989,"178550.7",856,68224,275617,5342220,15,1989,1,0.780223809653519,1.59228971962617,1.29964683869118,1.09874813530569,0.937998044855886
21.8897,2.351985,0.13475,1035,39573,273102,5062580,16,1989,"152531.4",1035,39573,273102,5062580,16,1989,1,0.820130910431061,1.33611300634271,1.13475672380076,1.04938076441068,0.890186116089238
28.53292,2.107708,0.12529,2203,79723,681824,9763100,17,1989,"316316.6",2203,79723,681824,9763100,17,1989,1,0.801694566820959,1.395823876532,0.924586824026349,1.02862752084119,0.831102520008572
