"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
20.63637,2.223005,0.13358,6493,264428,1668904,41932700,1,1990,"944748.8",6493,264428,1668904,41932700,1,1990,1,1,1,1,1.00000393392385,1.00000393392385
20.11524,2.368086,0.14525,20716,659041,4072132,99054064,2,1990,"2568850",20716,659041,4072132,99054064,2,1990,1,1,1,1,1,1
20.02445,2.464694,0.13787,6424,390783,3390763,47899260,3,1990,"1.559282D+06",6424,390783,3390763,47899260,3,1990,1,1,1,1,1.00000000028216,1.00000000028216
18.62509,2.203031,0.13867,4935,149636,994063,21361100,4,1990,"559414.3",4935,149636,994063,21361100,4,1990,1,0.867226260491102,1,0.929690582197739,1.00385824042579,0.883011263970255
25.10193,2.221193,0.14597,644,25268,74763,2316240,5,1990,"83203.91",644,25268,74763,2316240,5,1990,1,1,2.44693230608724,2.39549417855408,1.40339707244303,1.40339707244303
22.52571,1.898663,0.16227,3389,290224,2398897,30438860,6,1990,"1.016646D+06",3389,290224,2398897,30438860,6,1990,1,0.999999999999999,1,1,1.00026838700906,1.00026838700906
19.5354,1.953765,0.13635,6232,164224,1397446,19338940,7,1990,"633141.6",6232,164224,1397446,19338940,7,1990,0.911170109119252,0.702898755565867,0.964410073806072,0.76927157076897,0.91379545060627,0.720709283402949
29.22526,1.968769,0.15384,3176,150495,593989,13322840,8,1990,"480488.5",3176,150495,593989,13322840,8,1990,1,0.817972887994987,1.2291086198566,0.946103772463803,1.0286047271502,0.854612596922866
21.10262,1.995263,0.14676,5612,183331,917487,12126600,9,1990,"618871.8",5612,183331,917487,12126600,9,1990,0.65004081801704,0.466877319633004,0.778453536671364,0.556535788200954,0.666230093979525,0.491232248104814
23.08848,1.908324,0.16302,7503,96480,984664,7912990,10,1990,"517867.9",7503,96480,984664,7912990,10,1990,0.669371890547264,0.420962521081616,0.703866086235489,0.580437231961704,0.672688845131162,0.461493363268024
19.4442,2.416915,0.15442,22241,834225,6717806,106240568,11,1990,"3.486073D+06",22241,834225,6717806,106240568,11,1990,1,1,1,1,1,1
16.29009,2.063134,0.14746,3790,88983,742328,13191180,12,1990,"354787",3790,88983,742328,13191180,12,1990,1,0.862463053122886,1.02954496926379,1.00442660197535,1.00944006410945,0.897167397706936
